ProcessId,Arrival Time,Burst Time
1,0,13
2,0,3
3,0,3
4,1,7
5,1,5
6,1,9
7,2,12
8,2,5
9,2,1
10,3,4
11,3,3
12,4,4
13,4,8
14,4,7
15,5,11
16,5,10
17,5,10
18,5,12
19,5,6
20,6,12
21,6,11
22,6,13
23,7,6
24,8,5
25,8,4
26,8,7
27,8,6
28,9,6
29,9,11
30,10,6
31,10,2
32,11,13
33,11,1
34,12,6
35,12,4
36,12,11
37,13,6
38,13,8
39,13,8
40,13,6
41,14,4
42,14,2
43,14,2
44,15,1
45,15,3
46,15,4
47,16,13
48,16,4
49,16,2
50,16,3
51,16,12
52,16,11
53,17,5
54,18,6
55,18,3
56,18,10
57,18,6
58,19,2
59,20,8
60,20,8
61,20,1
62,20,13
63,21,2
64,21,2
65,21,9
66,21,3
67,21,3
68,22,13
69,22,13
70,22,4
71,22,5
72,23,10
73,23,4
74,24,11
75,24,13
76,24,9
77,25,4
78,25,11
79,26,5
80,26,10
81,26,5
82,26,7
83,26,12
84,27,5
85,27,4
86,27,6
87,28,2
88,28,12
89,29,10
90,29,12
91,29,3
92,29,13
93,29,3
94,29,8
95,29,13
96,30,7
97,30,5
98,30,5
99,30,11
100,30,7
