ProcessId,Arrival Time,Burst Time
1,0,4
2,0,5
3,0,4
4,0,10
5,0,3
6,1,5
7,1,3
8,2,2
9,2,3
10,3,4
11,3,8
12,3,3
13,3,1
14,4,1
15,4,6
16,5,4
17,5,1
18,6,1
19,6,4
20,6,10
21,7,2
22,7,9
23,7,6
24,8,5
25,8,5
26,8,9
27,9,9
28,9,8
29,9,8
30,9,6
31,10,2
32,11,9
33,11,8
34,11,10
35,11,3
36,12,10
37,13,2
38,13,2
39,13,8
40,13,4
41,14,9
42,14,9
43,14,9
44,15,4
45,17,1
46,17,9
47,17,2
48,18,6
49,18,4
50,18,6
51,19,10
52,19,7
53,20,5
54,20,8
55,20,6
56,20,1
57,21,2
58,21,6
59,22,3
60,22,9
61,23,2
62,23,6
63,24,1
64,25,1
65,25,7
66,25,8
67,25,10
68,26,10
69,26,5
70,26,5
71,27,5
72,27,5
73,28,3
74,28,5
75,28,6
76,29,6
77,29,7
78,30,8
79,30,1
80,30,7
81,31,1
82,31,9
83,31,4
84,32,4
85,32,6
86,32,3
87,34,5
88,34,7
89,35,2
90,35,5
91,36,8
92,36,9
93,37,5
94,37,6
95,38,3
96,38,5
97,38,4
98,39,6
99,39,4
100,39,7
101,40,10
102,40,4
103,41,3
104,41,10
105,41,9
106,42,3
107,43,3
108,43,7
109,43,1
110,43,4
111,43,4
112,44,1
113,44,7
114,44,7
115,44,5
116,45,2
117,45,3
118,46,5
119,46,2
120,47,7
121,47,5
122,47,10
123,47,9
124,48,2
125,48,5
126,48,10
127,48,2
128,48,5
129,48,6
130,49,2
131,49,5
132,49,5
133,50,9
134,50,9
135,50,2
136,51,5
137,51,5
138,51,1
139,51,1
140,52,2
141,52,3
142,52,1
143,52,10
144,53,7
145,53,5
146,53,8
147,54,1
148,54,1
149,54,8
150,55,3
151,55,4
152,55,10
153,56,9
154,56,6
155,57,10
156,57,6
157,58,9
158,58,1
159,58,7
160,59,6
161,60,9
162,60,3
163,60,3
164,60,4
165,60,8
166,61,3
167,62,4
168,62,8
169,62,8
170,62,8
171,63,1
172,63,9
173,64,1
174,64,6
175,65,10
176,65,8
177,65,4
178,66,4
179,67,6
180,67,4
181,68,5
182,68,7
183,69,3
184,69,9
185,69,1
186,71,10
187,71,3
188,72,10
189,72,6
190,72,9
191,73,4
192,73,1
193,73,4
194,73,1
195,73,3
196,73,3
197,74,10
198,75,1
199,75,7
200,75,9
